PROVINSI,Rata-rata Lama Sekolah Penduduk Umur 15 tahun keatas,Angka Pratisipasi Kasar SD,Angka Pratisipasi Kasar SMP,Angka Pratisipasi Kasar SMA,Harapan Lama Sekolah,Angka Buta Aksara 15+,Angka Buta Aksara 15-44,Angka Buta Aksara 45+
ACEH,9.95,108.57,94.3,96.6,14.39,1.66,0.15,4.51
SUMATERA UTARA,10.18,108.11,91.79,97.43,13.49,0.91,0.12,2.27
SUMATERA BARAT,9.72,107.74,96.24,93.65,14.3,0.63,0.07,1.57
RIAU,9.69,107.47,92.63,87.69,13.42,0.8,0.04,2.3
JAMBI,9.26,107.13,89.97,85.18,13.14,1.98,0.11,4.89
SUMATERA SELATAN,8.98,107.41,85.46,85.2,12.64,1.32,0.13,3.35
BENGKULU,9.4,107.16,92.24,97.41,12.78,2.09,0.12,5.22
LAMPUNG,8.8,104.6,90.85,89.54,12.49,2.64,0.32,6.14
KEP. BANGKA BELITUNG,8.78,106.47,88.74,87.02,13.27,1.8,0.24,4.3
KEP. RIAU,10.65,105.55,92.82,95.73,13.51,0.8,0.09,2.39
DKI JAKARTA,11.49,102.49,98.63,78.52,12.8,0.35,0.09,0.77
JAWA BARAT,9.24,102.99,95.6,80.56,12.86,1.43,0.07,3.61
JAWA TENGAH,8.47,103.86,90.89,88.54,15.7,5.5,0.29,11.97
DI YOGYAKARTA,10.23,102.11,98.43,91.88,13.43,4.35,0.24,9.52
JAWA TIMUR,8.69,102.54,93.89,88.67,13.1,5.87,0.35,12.31
BANTEN,9.55,107.04,93.32,79.42,13.62,1.59,0.06,4.17
BALI,9.87,104.51,95.25,94.16,13.98,4.21,0.18,9.57
NUSA TENGGARA BARAT,8.5,105.8,92.28,95.79,13.23,10.17,1.08,25.09
NUSA TENGGARA TIMUR,8.48,110.58,91.73,89.2,12.68,4.85,1.23,11.23
KALIMANTAN BARAT,8.28,109.71,83.94,86.33,12.77,4.97,0.5,12.56
KALIMANTAN TENGAH,9.17,106.34,88.28,86.17,12.87,1.17,0.1,2.94
KALIMANTAN SELATAN,9.02,105.32,90.22,82.17,14.03,1.66,0.08,3.99
KALIMANTAN TIMUR,10.22,105.31,91.72,98.75,13.21,1.04,0.06,2.65
KALIMANTAN UTARA,9.58,103.23,96.35,95.36,12.97,2.63,0.32,6.61
SULAWESI UTARA,10.02,107.21,89.45,86.12,13.34,0.25,0.05,0.51
SULAWESI TENGAH,9.28,103.16,90.64,88.39,13.55,1.65,0.38,3.78
SULAWESI SELATAN,9.22,105.98,86.57,90.49,13.71,5.89,1.08,12.89
SULAWESI TENGGARA,9.74,107.33,85.61,91.83,13.17,3.71,0.44,9.78
GORONTALO,8.64,105.52,82.15,89.8,13.22,1.45,0.53,2.91
SULAWESI BARAT,8.56,104.78,82.07,86.07,12.89,5,1.19,11.7
MALUKU,10.44,107.62,88.79,95.86,14.09,0.47,0.15,1.05
MALUKU UTARA,9.7,106.94,92.44,91.01,13.75,1.2,0.08,3.26
PAPUA BARAT,9.87,108.57,90.92,93.26,13.17,2.11,1.01,4.85
PAPUA BARAT DAYA,10.48,108.03,92.48,98.09,13.88,2.16,0.48,5.7
PAPUA,10.7,103.25,100.21,92.15,13.72,1.63,0.49,3.29
PAPUA SELATAN,8.99,104.01,82.56,80.28,12.67,5.79,3.54,9.67
PAPUA TENGAH,6.17,74.02,76.94,53.66,9.63,15.31,13.01,20.93
PAPUA PEGUNUNGAN,5.1,80.98,76.56,64.27,9.97,29.63,22.74,47.45
